route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
ST.16,20230224_MTWTF--_54,524072,arbaer/Hraunsas,,0,4416_17-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524073,arbaer/Hraunsas,,0,4412_16-C,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524074,arbaer/Hraunsas,,0,4411_16-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524075,arbaer/Hraunsas,,0,4410_16-A,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524076,arbaer/Hraunsas,,0,4416_17-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524077,arbaer/Hraunsas,,0,4414_17-A,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524078,arbaer/Hraunsas,,0,4412_16-C,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524079,arbaer/Hraunsas,,0,4411_16-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524080,arbaer/Hraunsas,,0,4410_16-A,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524081,arbaer/Hraunsas,,0,4416_17-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524082,arbaer/Hraunsas,,0,4414_17-A,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524083,arbaer/Hraunsas,,0,4412_16-C,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524084,arbaer/Hraunsas,,0,4416_17-B,16_f16_1005361_1_1
ST.16,20230224_MTWTF--_54,524085,arbaer/Hraunsas,,0,4411_16-B,16_f16_1005361_1_10
ST.16,20230224_MTWTF--_54,524086,Hlemmur,,1,4414_17-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524087,Hlemmur,,1,4416_17-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524088,Hlemmur,,1,4410_16-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524089,Hlemmur,,1,4416_17-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524090,Hlemmur,,1,4414_17-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524091,Hlemmur,,1,4412_16-C,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524092,Hlemmur,,1,4411_16-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524093,Hlemmur,,1,4410_16-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524094,Hlemmur,,1,4416_17-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524095,Hlemmur,,1,4414_17-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524096,Hlemmur,,1,4412_16-C,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524097,Hlemmur,,1,4411_16-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524098,Hlemmur,,1,4410_16-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524099,Hlemmur,,1,4412_16-C,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524100,Hlemmur,,1,4411_16-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524101,Hlemmur,,1,4410_16-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524102,Hlemmur,,1,4416_17-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524103,Hlemmur,,1,4414_17-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524104,Hlemmur,,1,4412_16-C,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524105,Hlemmur,,1,4411_16-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524106,Hlemmur,,1,4410_16-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524107,Hlemmur,,1,4416_17-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524108,Hlemmur,,1,4414_17-A,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524109,Hlemmur,,1,4412_16-C,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524110,Hlemmur,,1,4411_16-B,16_f16_1005361_2_51
ST.16,20230224_MTWTF--_54,524111,Hlemmur,,1,4410_16-A,16_f16_1005361_2_60
ST.17,20220814_MTWTF--_8,514011,Fell/Berg,,0,4410_16-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514012,Fell/Berg,,0,4416_17-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514013,Fell/Berg,,0,4414_17-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514014,Fell/Berg,,0,4412_16-C,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514015,Fell/Berg,,0,4411_16-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514016,Fell/Berg,,0,4410_16-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514017,Fell/Berg,,0,4416_17-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514018,Fell/Berg,,0,4410_16-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514028,Fell/Berg,,0,4411_16-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514029,Fell/Berg,,0,4410_16-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514030,Fell/Berg,,0,4416_17-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514031,Fell/Berg,,0,4414_17-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514032,Fell/Berg,,0,4412_16-C,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514033,Fell/Berg,,0,4411_16-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514034,Fell/Berg,,0,4410_16-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514035,Fell/Berg,,0,4416_17-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514036,Fell/Berg,,0,4414_17-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514037,Fell/Berg,,0,4412_16-C,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514038,Fell/Berg,,0,4411_16-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514039,Fell/Berg,,0,4410_16-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514040,Fell/Berg,,0,4416_17-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514041,Fell/Berg,,0,4414_17-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514058,Fell/Berg,,0,4414_17-A,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514059,Fell/Berg,,0,4412_16-C,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514060,Fell/Berg,,0,4416_17-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514061,Fell/Berg,,0,4412_16-C,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514062,Fell/Berg,,0,4411_16-B,17_f17_1005361_1_1
ST.17,20220814_MTWTF--_8,514065,Fell/Berg,,0,4414_17-A,17_f17_1005361_1_3
